indx,book_id,isbn13,authors,original_title,average_rating,ratings_count,image_url
1,3,9.78044E+12,"J.K. Rowling, Mary GrandPré",Harry Potter and the Philosopher's Stone,4.44,4602479,https://images.gr-assets.com/books/1474154022m/3.jpg
2,2657,9.78006E+12,Harper Lee,To Kill a Mockingbird,4.25,3198671,https://images.gr-assets.com/books/1361975680m/2657.jpg
3,4671,9.78074E+12,F. Scott Fitzgerald,The Great Gatsby,3.89,2683664,https://images.gr-assets.com/books/1490528560m/4671.jpg
5,5907,9.78062E+12,J.R.R. Tolkien,The Hobbit or There and Back Again,4.25,2071616,https://images.gr-assets.com/books/1372847500m/5907.jpg
6,5107,9.78032E+12,J.D. Salinger,The Catcher in the Rye,3.79,2044241,https://images.gr-assets.com/books/1398034300m/5107.jpg
7,960,9.78142E+12,Dan Brown,Angels & Demons,3.85,2001311,https://images.gr-assets.com/books/1303390735m/960.jpg
8,1885,9.78068E+12,Jane Austen,Pride and Prejudice,4.24,2035490,https://images.gr-assets.com/books/1320399351m/1885.jpg
11,5470,9.78045E+12,"George Orwell, Erich Fromm, Celâl Üster",Nineteen Eighty-Four,4.14,1956832,https://images.gr-assets.com/books/1348990566m/5470.jpg
12,7613,9.78045E+12,George Orwell,Animal Farm: A Fairy Story,3.87,1881700,https://images.gr-assets.com/books/1424037542m/7613.jpg
16,5,9.78044E+12,"J.K. Rowling, Mary GrandPré, Rufus Beck",Harry Potter and the Prisoner of Azkaban,4.53,1832823,https://images.gr-assets.com/books/1499277281m/5.jpg
17,34,9.78062E+12,J.R.R. Tolkien,The Fellowship of the Ring,4.34,1766803,https://images.gr-assets.com/books/1298411339m/34.jpg
19,2,9.78044E+12,"J.K. Rowling, Mary GrandPré",Harry Potter and the Order of the Phoenix,4.46,1735368,https://images.gr-assets.com/books/1387141547m/2.jpg
22,6,9.78044E+12,"J.K. Rowling, Mary GrandPré",Harry Potter and the Goblet of Fire,4.53,1753043,https://images.gr-assets.com/books/1361482611m/6.jpg
24,968,9.78031E+12,Dan Brown,The Da Vinci Code,3.79,1447148,https://images.gr-assets.com/books/1303252999m/968.jpg
25,1,9.78044E+12,"J.K. Rowling, Mary GrandPré",Harry Potter and the Half-Blood Prince,4.54,1678823,https://images.gr-assets.com/books/1361039191m/1.jpg
26,7624,9.78014E+12,William Golding,Lord of the Flies,3.64,1605019,https://images.gr-assets.com/books/1327869409m/7624.jpg
30,890,9.78014E+12,John Steinbeck,Of Mice and Men,3.84,1467496,https://images.gr-assets.com/books/1437235233m/890.jpg
